Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
10/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;33.0;V
11/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;20.0;V
12/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;33.0;V
13/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;26.0;V
14/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;12.0;V
15/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;3.0;V
16/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;11.0;V
17/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;16.0;V
18/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;8.0;V
19/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;14.0;V
20/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;18.0;V
21/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;24.0;V
22/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;16.0;V
23/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;18.0;V
